Created as New Dataset,Sample 074 By Student Date Tuesday, February 27 2024
cm-1,%T
6454.00,89.08
6453.00,89.08
6452.00,89.08
6451.00,89.07
6450.00,89.06
6449.00,89.05
6448.00,89.06
6447.00,89.06
6446.00,89.06
6445.00,89.06
6444.00,89.07
6443.00,89.08
6442.00,89.07
6441.00,89.07
6440.00,89.07
6439.00,89.07
6438.00,89.07
6437.00,89.07
6436.00,89.08
6435.00,89.08
6434.00,89.09
6433.00,89.09
6432.00,89.09
6431.00,89.08
6430.00,89.07
6429.00,89.07
6428.00,89.08
6427.00,89.08
6426.00,89.09
6425.00,89.10
6424.00,89.10
6423.00,89.10
6422.00,89.08
6421.00,89.08
6420.00,89.07
6419.00,89.07
6418.00,89.07
6417.00,89.07
6416.00,89.09
6415.00,89.10
6414.00,89.10
6413.00,89.10
6412.00,89.11
6411.00,89.11
6410.00,89.11
6409.00,89.11
6408.00,89.11
6407.00,89.11
6406.00,89.11
6405.00,89.12
6404.00,89.12
6403.00,89.13
6402.00,89.13
6401.00,89.13
6400.00,89.13
6399.00,89.13
6398.00,89.13
6397.00,89.12
6396.00,89.12
6395.00,89.12
6394.00,89.11
6393.00,89.11
6392.00,89.12
6391.00,89.11
6390.00,89.11
6389.00,89.12
6388.00,89.13
6387.00,89.13
6386.00,89.12
6385.00,89.12
6384.00,89.13
6383.00,89.13
6382.00,89.14
6381.00,89.14
6380.00,89.14
6379.00,89.14
6378.00,89.13
6377.00,89.12
6376.00,89.12
6375.00,89.12
6374.00,89.13
6373.00,89.14
6372.00,89.15
6371.00,89.15
6370.00,89.15
6369.00,89.15
6368.00,89.15
6367.00,89.15
6366.00,89.15
6365.00,89.16
6364.00,89.17
6363.00,89.17
6362.00,89.16
6361.00,89.16
6360.00,89.16
6359.00,89.16
6358.00,89.15
6357.00,89.15
6356.00,89.16
6355.00,89.17
6354.00,89.17
6353.00,89.17
6352.00,89.18
6351.00,89.18
6350.00,89.17
6349.00,89.17
6348.00,89.16
6347.00,89.16
6346.00,89.16
6345.00,89.17
6344.00,89.17
6343.00,89.17
6342.00,89.17
6341.00,89.17
6340.00,89.17
6339.00,89.17
6338.00,89.17
6337.00,89.18
6336.00,89.19
6335.00,89.19
6334.00,89.20
6333.00,89.20
6332.00,89.21
6331.00,89.20
6330.00,89.20
6329.00,89.20
6328.00,89.21
6327.00,89.21
6326.00,89.21
6325.00,89.20
6324.00,89.21
6323.00,89.20
6322.00,89.19
6321.00,89.19
6320.00,89.19
6319.00,89.20
6318.00,89.21
6317.00,89.21
6316.00,89.22
6315.00,89.23
6314.00,89.23
6313.00,89.23
6312.00,89.23
6311.00,89.23
6310.00,89.23
6309.00,89.24
6308.00,89.24
6307.00,89.23
6306.00,89.23
6305.00,89.23
6304.00,89.23
6303.00,89.23
6302.00,89.22
6301.00,89.23
6300.00,89.24
6299.00,89.24
6298.00,89.23
6297.00,89.23
6296.00,89.24
6295.00,89.24
6294.00,89.23
6293.00,89.23
6292.00,89.24
6291.00,89.25
6290.00,89.25
6289.00,89.24
6288.00,89.24
6287.00,89.24
6286.00,89.23
6285.00,89.22
6284.00,89.22
6283.00,89.23
6282.00,89.24
6281.00,89.24
6280.00,89.25
6279.00,89.24
6278.00,89.24
6277.00,89.23
6276.00,89.23
6275.00,89.22
6274.00,89.22
6273.00,89.23
6272.00,89.24
6271.00,89.23
6270.00,89.22
6269.00,89.22
6268.00,89.23
6267.00,89.24
6266.00,89.24
6265.00,89.24
6264.00,89.25
6263.00,89.25
6262.00,89.24
6261.00,89.23
6260.00,89.23
6259.00,89.23
6258.00,89.23
6257.00,89.23
6256.00,89.24
6255.00,89.24
6254.00,89.25
6253.00,89.25
6252.00,89.26
6251.00,89.26
6250.00,89.26
6249.00,89.26
6248.00,89.26
6247.00,89.25
6246.00,89.25
6245.00,89.25
6244.00,89.26
6243.00,89.25
6242.00,89.25
6241.00,89.25
6240.00,89.26
6239.00,89.25
6238.00,89.25
6237.00,89.26
6236.00,89.28
6235.00,89.28
6234.00,89.27
6233.00,89.26
6232.00,89.26
6231.00,89.26
6230.00,89.25
6229.00,89.25
6228.00,89.26
6227.00,89.27
6226.00,89.28
6225.00,89.27
6224.00,89.27
6223.00,89.27
6222.00,89.27
6221.00,89.27
6220.00,89.28
6219.00,89.28
6218.00,89.28
6217.00,89.29
6216.00,89.29
6215.00,89.28
6214.00,89.27
6213.00,89.27
6212.00,89.27
6211.00,89.27
6210.00,89.27
6209.00,89.27
6208.00,89.28
6207.00,89.29
6206.00,89.28
6205.00,89.28
6204.00,89.28
6203.00,89.28
6202.00,89.28
6201.00,89.28
6200.00,89.29
6199.00,89.30
6198.00,89.29
6197.00,89.29
6196.00,89.29
6195.00,89.29
6194.00,89.29
6193.00,89.29
6192.00,89.29
6191.00,89.30
6190.00,89.30
6189.00,89.30
6188.00,89.30
6187.00,89.29
6186.00,89.29
6185.00,89.29
6184.00,89.30
6183.00,89.30
6182.00,89.30
6181.00,89.31
6180.00,89.31
6179.00,89.30
6178.00,89.29
6177.00,89.28
6176.00,89.29
6175.00,89.30
6174.00,89.30
6173.00,89.30
6172.00,89.31
6171.00,89.32
6170.00,89.31
6169.00,89.31
6168.00,89.31
6167.00,89.31
6166.00,89.31
6165.00,89.32
6164.00,89.32
6163.00,89.32
6162.00,89.31
6161.00,89.31
6160.00,89.31
6159.00,89.31
6158.00,89.31
6157.00,89.32
6156.00,89.33
6155.00,89.33
6154.00,89.33
6153.00,89.33
6152.00,89.33
6151.00,89.32
6150.00,89.32
6149.00,89.33
6148.00,89.34
6147.00,89.35
6146.00,89.35
6145.00,89.36
6144.00,89.37
6143.00,89.37
6142.00,89.36
6141.00,89.36
6140.00,89.36
6139.00,89.37
6138.00,89.37
6137.00,89.37
6136.00,89.37
6135.00,89.37
6134.00,89.36
6133.00,89.36
6132.00,89.36
6131.00,89.36
6130.00,89.36
6129.00,89.37
6128.00,89.37
6127.00,89.37
6126.00,89.37
6125.00,89.37
6124.00,89.37
6123.00,89.36
6122.00,89.36
6121.00,89.36
6120.00,89.37
6119.00,89.37
6118.00,89.37
6117.00,89.38
6116.00,89.38
6115.00,89.38
6114.00,89.37
6113.00,89.37
6112.00,89.38
6111.00,89.38
6110.00,89.38
6109.00,89.39
6108.00,89.39
6107.00,89.39
6106.00,89.38
6105.00,89.36
6104.00,89.36
6103.00,89.35
6102.00,89.35
6101.00,89.36
6100.00,89.36
6099.00,89.36
6098.00,89.36
6097.00,89.36
6096.00,89.36
6095.00,89.36
6094.00,89.36
6093.00,89.37
6092.00,89.37
6091.00,89.37
6090.00,89.37
6089.00,89.37
6088.00,89.37
6087.00,89.37
6086.00,89.37
6085.00,89.37
6084.00,89.38
6083.00,89.38
6082.00,89.37
6081.00,89.37
6080.00,89.37
6079.00,89.37
6078.00,89.36
6077.00,89.36
6076.00,89.37
6075.00,89.37
6074.00,89.37
6073.00,89.37
6072.00,89.37
6071.00,89.37
6070.00,89.36
6069.00,89.36
6068.00,89.36
6067.00,89.37
6066.00,89.38
6065.00,89.39
6064.00,89.40
6063.00,89.40
6062.00,89.39
6061.00,89.39
6060.00,89.39
6059.00,89.38
6058.00,89.38
6057.00,89.39
6056.00,89.40
6055.00,89.40
6054.00,89.39
6053.00,89.38
6052.00,89.38
6051.00,89.38
6050.00,89.38
6049.00,89.38
6048.00,89.40
6047.00,89.41
6046.00,89.41
6045.00,89.41
6044.00,89.41
6043.00,89.40
6042.00,89.40
6041.00,89.39
6040.00,89.39
6039.00,89.40
6038.00,89.41
6037.00,89.41
6036.00,89.42
6035.00,89.41
6034.00,89.41
6033.00,89.41
6032.00,89.41
6031.00,89.41
6030.00,89.41
6029.00,89.42
6028.00,89.43
6027.00,89.42
6026.00,89.41
6025.00,89.41
6024.00,89.41
6023.00,89.40
6022.00,89.40
6021.00,89.40
6020.00,89.41
6019.00,89.42
6018.00,89.42
6017.00,89.42
6016.00,89.42
6015.00,89.42
6014.00,89.42
6013.00,89.42
6012.00,89.42
6011.00,89.42
6010.00,89.43
6009.00,89.43
6008.00,89.43
6007.00,89.42
6006.00,89.41
6005.00,89.41
6004.00,89.42
6003.00,89.42
6002.00,89.42
6001.00,89.43
6000.00,89.44
5999.00,89.43
5998.00,89.43
5997.00,89.43
5996.00,89.43
5995.00,89.43
5994.00,89.43
5993.00,89.43
5992.00,89.44
5991.00,89.44
5990.00,89.44
5989.00,89.43
5988.00,89.44
5987.00,89.44
5986.00,89.44
5985.00,89.44
5984.00,89.45
5983.00,89.45
5982.00,89.46
5981.00,89.46
5980.00,89.45
5979.00,89.45
5978.00,89.45
5977.00,89.45
5976.00,89.46
5975.00,89.47
5974.00,89.47
5973.00,89.48
5972.00,89.49
5971.00,89.48
5970.00,89.48
5969.00,89.48
5968.00,89.48
5967.00,89.48
5966.00,89.48
5965.00,89.48
5964.00,89.49
5963.00,89.49
5962.00,89.48
5961.00,89.48
5960.00,89.49
5959.00,89.49
5958.00,89.49
5957.00,89.49
5956.00,89.49
5955.00,89.50
5954.00,89.50
5953.00,89.50
5952.00,89.50
5951.00,89.50
5950.00,89.50
5949.00,89.50
5948.00,89.50
5947.00,89.51
5946.00,89.51
5945.00,89.51
5944.00,89.51
5943.00,89.51
5942.00,89.51
5941.00,89.52
5940.00,89.52
5939.00,89.52
5938.00,89.52
5937.00,89.53
5936.00,89.54
5935.00,89.53
5934.00,89.53
5933.00,89.53
5932.00,89.54
5931.00,89.54
5930.00,89.54
5929.00,89.54
5928.00,89.56
5927.00,89.56
5926.00,89.56
5925.00,89.55
5924.00,89.55
5923.00,89.55
5922.00,89.54
5921.00,89.54
5920.00,89.54
5919.00,89.55
5918.00,89.55
5917.00,89.55
5916.00,89.55
5915.00,89.55
5914.00,89.55
5913.00,89.55
5912.00,89.56
5911.00,89.56
5910.00,89.56
5909.00,89.57
5908.00,89.57
5907.00,89.57
5906.00,89.56
5905.00,89.56
5904.00,89.56
5903.00,89.56
5902.00,89.56
5901.00,89.56
5900.00,89.57
5899.00,89.57
5898.00,89.56
5897.00,89.56
5896.00,89.56
5895.00,89.57
5894.00,89.57
5893.00,89.57
5892.00,89.57
5891.00,89.57
5890.00,89.56
5889.00,89.56
5888.00,89.56
5887.00,89.56
5886.00,89.57
5885.00,89.57
5884.00,89.58
5883.00,89.58
5882.00,89.59
5881.00,89.59
5880.00,89.59
5879.00,89.58
5878.00,89.58
5877.00,89.58
5876.00,89.59
5875.00,89.59
5874.00,89.59
5873.00,89.60
5872.00,89.61
5871.00,89.61
5870.00,89.60
5869.00,89.60
5868.00,89.61
5867.00,89.62
5866.00,89.62
5865.00,89.63
5864.00,89.63
5863.00,89.64
5862.00,89.64
5861.00,89.64
5860.00,89.63
5859.00,89.63
5858.00,89.63
5857.00,89.63
5856.00,89.63
5855.00,89.63
5854.00,89.64
5853.00,89.64
5852.00,89.64
5851.00,89.64
5850.00,89.64
5849.00,89.65
5848.00,89.65
5847.00,89.65
5846.00,89.65
5845.00,89.65
5844.00,89.65
5843.00,89.64
5842.00,89.64
5841.00,89.64
5840.00,89.64
5839.00,89.64
5838.00,89.64
5837.00,89.63
5836.00,89.63
5835.00,89.62
5834.00,89.62
5833.00,89.61
5832.00,89.61
5831.00,89.62
5830.00,89.62
5829.00,89.63
5828.00,89.63
5827.00,89.63
5826.00,89.63
5825.00,89.62
5824.00,89.61
5823.00,89.61
5822.00,89.60
5821.00,89.61
5820.00,89.61
5819.00,89.61
5818.00,89.61
5817.00,89.61
5816.00,89.61
5815.00,89.60
5814.00,89.59
5813.00,89.59
5812.00,89.60
5811.00,89.60
5810.00,89.60
5809.00,89.60
5808.00,89.60
5807.00,89.61
5806.00,89.60
5805.00,89.60
5804.00,89.60
5803.00,89.61
5802.00,89.62
5801.00,89.62
5800.00,89.62
5799.00,89.61
5798.00,89.61
5797.00,89.60
5796.00,89.60
5795.00,89.60
5794.00,89.61
5793.00,89.61
5792.00,89.62
5791.00,89.61
5790.00,89.61
5789.00,89.60
5788.00,89.60
5787.00,89.60
5786.00,89.60
5785.00,89.61
5784.00,89.62
5783.00,89.62
5782.00,89.61
5781.00,89.61
5780.00,89.61
5779.00,89.60
5778.00,89.60
5777.00,89.60
5776.00,89.60
5775.00,89.61
5774.00,89.61
5773.00,89.60
5772.00,89.60
5771.00,89.60
5770.00,89.60
5769.00,89.60
5768.00,89.60
5767.00,89.61
5766.00,89.61
5765.00,89.61
5764.00,89.61
5763.00,89.60
5762.00,89.60
5761.00,89.60
5760.00,89.60
5759.00,89.60
5758.00,89.60
5757.00,89.61
5756.00,89.61
5755.00,89.61
5754.00,89.60
5753.00,89.60
5752.00,89.60
5751.00,89.61
5750.00,89.60
5749.00,89.61
5748.00,89.62
5747.00,89.63
5746.00,89.62
5745.00,89.62
5744.00,89.62
5743.00,89.62
5742.00,89.63
5741.00,89.63
5740.00,89.63
5739.00,89.64
5738.00,89.64
5737.00,89.63
5736.00,89.62
5735.00,89.62
5734.00,89.62
5733.00,89.62
5732.00,89.62
5731.00,89.62
5730.00,89.63
5729.00,89.63
5728.00,89.63
5727.00,89.62
5726.00,89.62
5725.00,89.62
5724.00,89.63
5723.00,89.63
5722.00,89.63
5721.00,89.64
5720.00,89.64
5719.00,89.64
5718.00,89.64
5717.00,89.64
5716.00,89.64
5715.00,89.65
5714.00,89.64
5713.00,89.64
5712.00,89.65
5711.00,89.65
5710.00,89.65
5709.00,89.65
5708.00,89.65
5707.00,89.65
5706.00,89.65
5705.00,89.65
5704.00,89.65
5703.00,89.65
5702.00,89.65
5701.00,89.65
5700.00,89.64
5699.00,89.63
5698.00,89.63
5697.00,89.63
5696.00,89.64
5695.00,89.63
5694.00,89.63
5693.00,89.63
5692.00,89.63
5691.00,89.63
5690.00,89.62
5689.00,89.63
5688.00,89.63
5687.00,89.63
5686.00,89.63
5685.00,89.62
5684.00,89.62
5683.00,89.62
5682.00,89.62
5681.00,89.61
5680.00,89.61
5679.00,89.62
5678.00,89.62
5677.00,89.62
5676.00,89.62
5675.00,89.62
5674.00,89.62
5673.00,89.61
5672.00,89.61
5671.00,89.61
5670.00,89.61
5669.00,89.61
5668.00,89.62
5667.00,89.61
5666.00,89.61
5665.00,89.61
5664.00,89.61
5663.00,89.61
5662.00,89.60
5661.00,89.60
5660.00,89.61
5659.00,89.61
5658.00,89.60
5657.00,89.60
5656.00,89.61
5655.00,89.61
5654.00,89.61
5653.00,89.61
5652.00,89.61
5651.00,89.62
5650.00,89.61
5649.00,89.61
5648.00,89.60
5647.00,89.60
5646.00,89.60
5645.00,89.60
5644.00,89.60
5643.00,89.60
5642.00,89.61
5641.00,89.61
5640.00,89.62
5639.00,89.61
5638.00,89.61
5637.00,89.62
5636.00,89.62
5635.00,89.61
5634.00,89.60
5633.00,89.61
5632.00,89.61
5631.00,89.61
5630.00,89.61
5629.00,89.61
5628.00,89.61
5627.00,89.62
5626.00,89.61
5625.00,89.61
5624.00,89.62
5623.00,89.63
5622.00,89.63
5621.00,89.63
5620.00,89.63
5619.00,89.63
5618.00,89.62
5617.00,89.62
5616.00,89.62
5615.00,89.63
5614.00,89.63
5613.00,89.63
5612.00,89.63
5611.00,89.63
5610.00,89.63
5609.00,89.63
5608.00,89.63
5607.00,89.63
5606.00,89.63
5605.00,89.64
5604.00,89.64
5603.00,89.64
5602.00,89.63
5601.00,89.63
5600.00,89.64
5599.00,89.63
5598.00,89.63
5597.00,89.63
5596.00,89.64
5595.00,89.64
5594.00,89.64
5593.00,89.64
5592.00,89.64
5591.00,89.64
5590.00,89.63
5589.00,89.63
5588.00,89.63
5587.00,89.64
5586.00,89.64
5585.00,89.64
5584.00,89.64
5583.00,89.63
5582.00,89.63
5581.00,89.63
5580.00,89.62
5579.00,89.63
5578.00,89.63
5577.00,89.63
5576.00,89.63
5575.00,89.63
5574.00,89.62
5573.00,89.62
5572.00,89.63
5571.00,89.63
5570.00,89.62
5569.00,89.63
5568.00,89.64
5567.00,89.64
5566.00,89.63
5565.00,89.63
5564.00,89.63
5563.00,89.63
5562.00,89.63
5561.00,89.63
5560.00,89.63
5559.00,89.63
5558.00,89.63
5557.00,89.62
5556.00,89.61
5555.00,89.61
5554.00,89.61
5553.00,89.62
5552.00,89.62
5551.00,89.63
5550.00,89.63
5549.00,89.63
5548.00,89.63
5547.00,89.62
5546.00,89.61
5545.00,89.61
5544.00,89.61
5543.00,89.62
5542.00,89.62
5541.00,89.63
5540.00,89.64
5539.00,89.63
5538.00,89.62
5537.00,89.62
5536.00,89.62
5535.00,89.63
5534.00,89.63
5533.00,89.63
5532.00,89.64
5531.00,89.64
5530.00,89.64
5529.00,89.63
5528.00,89.63
5527.00,89.63
5526.00,89.63
5525.00,89.64
5524.00,89.64
5523.00,89.65
5522.00,89.65
5521.00,89.64
5520.00,89.64
5519.00,89.63
5518.00,89.63
5517.00,89.63
5516.00,89.64
5515.00,89.64
5514.00,89.64
5513.00,89.64
5512.00,89.65
5511.00,89.64
5510.00,89.64
5509.00,89.64
5508.00,89.65
5507.00,89.65
5506.00,89.65
5505.00,89.65
5504.00,89.65
5503.00,89.65
5502.00,89.65
5501.00,89.64
5500.00,89.64
5499.00,89.65
5498.00,89.65
5497.00,89.65
5496.00,89.66
5495.00,89.67
5494.00,89.67
5493.00,89.67
5492.00,89.66
5491.00,89.66
5490.00,89.65
5489.00,89.65
5488.00,89.65
5487.00,89.65
5486.00,89.65
5485.00,89.65
5484.00,89.65
5483.00,89.64
5482.00,89.65
5481.00,89.66
5480.00,89.67
5479.00,89.67
5478.00,89.67
5477.00,89.67
5476.00,89.67
5475.00,89.66
5474.00,89.65
5473.00,89.64
5472.00,89.65
5471.00,89.65
5470.00,89.66
5469.00,89.65
5468.00,89.66
5467.00,89.66
5466.00,89.66
5465.00,89.66
5464.00,89.66
5463.00,89.66
5462.00,89.67
5461.00,89.66
5460.00,89.66
5459.00,89.65
5458.00,89.65
5457.00,89.65
5456.00,89.65
5455.00,89.65
5454.00,89.65
5453.00,89.66
5452.00,89.67
5451.00,89.67
5450.00,89.67
5449.00,89.68
5448.00,89.68
5447.00,89.67
5446.00,89.67
5445.00,89.67
5444.00,89.68
5443.00,89.69
5442.00,89.69
5441.00,89.68
5440.00,89.68
5439.00,89.68
5438.00,89.67
5437.00,89.67
5436.00,89.68
5435.00,89.68
5434.00,89.68
5433.00,89.67
5432.00,89.66
5431.00,89.66
5430.00,89.66
5429.00,89.66
5428.00,89.67
5427.00,89.67
5426.00,89.67
5425.00,89.68
5424.00,89.68
5423.00,89.68
5422.00,89.67
5421.00,89.68
5420.00,89.68
5419.00,89.67
5418.00,89.66
5417.00,89.66
5416.00,89.66
5415.00,89.66
5414.00,89.65
5413.00,89.65
5412.00,89.66
5411.00,89.66
5410.00,89.67
5409.00,89.67
5408.00,89.67
5407.00,89.68
5406.00,89.68
5405.00,89.67
5404.00,89.67
5403.00,89.67
5402.00,89.67
5401.00,89.67
5400.00,89.67
5399.00,89.67
5398.00,89.67
5397.00,89.67
5396.00,89.67
5395.00,89.66
5394.00,89.67
5393.00,89.67
5392.00,89.67
5391.00,89.67
5390.00,89.67
5389.00,89.67
5388.00,89.68
5387.00,89.67
5386.00,89.67
5385.00,89.67
5384.00,89.67
5383.00,89.67
5382.00,89.66
5381.00,89.66
5380.00,89.66
5379.00,89.66
5378.00,89.66
5377.00,89.66
5376.00,89.66
5375.00,89.67
5374.00,89.67
5373.00,89.67
5372.00,89.67
5371.00,89.68
5370.00,89.68
5369.00,89.68
5368.00,89.68
5367.00,89.69
5366.00,89.69
5365.00,89.69
5364.00,89.69
5363.00,89.69
5362.00,89.69
5361.00,89.69
5360.00,89.69
5359.00,89.69
5358.00,89.69
5357.00,89.69
5356.00,89.70
5355.00,89.70
5354.00,89.69
5353.00,89.69
5352.00,89.70
5351.00,89.70
5350.00,89.70
5349.00,89.69
5348.00,89.70
5347.00,89.70
5346.00,89.69
5345.00,89.69
5344.00,89.69
5343.00,89.70
5342.00,89.69
5341.00,89.68
5340.00,89.68
5339.00,89.68
5338.00,89.68
5337.00,89.69
5336.00,89.69
5335.00,89.69
5334.00,89.70
5333.00,89.70
5332.00,89.69
5331.00,89.68
5330.00,89.67
5329.00,89.68
5328.00,89.69
5327.00,89.69
5326.00,89.70
5325.00,89.70
5324.00,89.70
5323.00,89.69
5322.00,89.68
5321.00,89.68
5320.00,89.69
5319.00,89.70
5318.00,89.70
5317.00,89.70
5316.00,89.71
5315.00,89.71
5314.00,89.71
5313.00,89.70
5312.00,89.69
5311.00,89.69
5310.00,89.69
5309.00,89.69
5308.00,89.69
5307.00,89.70
5306.00,89.70
5305.00,89.69
5304.00,89.69
5303.00,89.69
5302.00,89.69
5301.00,89.70
5300.00,89.70
5299.00,89.70
5298.00,89.70
5297.00,89.70
5296.00,89.69
5295.00,89.69
5294.00,89.68
5293.00,89.69
5292.00,89.70
5291.00,89.70
5290.00,89.70
5289.00,89.70
5288.00,89.69
5287.00,89.69
5286.00,89.68
5285.00,89.68
5284.00,89.68
5283.00,89.69
5282.00,89.69
5281.00,89.70
5280.00,89.70
5279.00,89.70
5278.00,89.70
5277.00,89.70
5276.00,89.70
5275.00,89.70
5274.00,89.70
5273.00,89.70
5272.00,89.70
5271.00,89.69
5270.00,89.69
5269.00,89.69
5268.00,89.69
5267.00,89.68
5266.00,89.68
5265.00,89.69
5264.00,89.70
5263.00,89.70
5262.00,89.70
5261.00,89.70
5260.00,89.70
5259.00,89.70
5258.00,89.69
5257.00,89.69
5256.00,89.70
5255.00,89.71
5254.00,89.71
5253.00,89.70
5252.00,89.69
5251.00,89.69
5250.00,89.69
5249.00,89.69
5248.00,89.69
5247.00,89.70
5246.00,89.70
5245.00,89.71
5244.00,89.70
5243.00,89.70
5242.00,89.69
5241.00,89.69
5240.00,89.69
5239.00,89.68
5238.00,89.69
5237.00,89.69
5236.00,89.69
5235.00,89.69
5234.00,89.68
5233.00,89.68
5232.00,89.69
5231.00,89.69
5230.00,89.69
5229.00,89.69
5228.00,89.70
5227.00,89.70
5226.00,89.70
5225.00,89.69
5224.00,89.68
5223.00,89.68
5222.00,89.68
5221.00,89.68
5220.00,89.68
5219.00,89.69
5218.00,89.69
5217.00,89.69
5216.00,89.68
5215.00,89.68
5214.00,89.68
5213.00,89.69
5212.00,89.70
5211.00,89.70
5210.00,89.71
5209.00,89.71
5208.00,89.71
5207.00,89.71
5206.00,89.70
5205.00,89.69
5204.00,89.69
5203.00,89.69
5202.00,89.69
5201.00,89.69
5200.00,89.70
5199.00,89.70
5198.00,89.69
5197.00,89.68
5196.00,89.69
5195.00,89.69
5194.00,89.69
5193.00,89.69
5192.00,89.69
5191.00,89.70
5190.00,89.69
5189.00,89.69
5188.00,89.69
5187.00,89.69
5186.00,89.70
5185.00,89.70
5184.00,89.70
5183.00,89.70
5182.00,89.70
5181.00,89.70
5180.00,89.69
5179.00,89.69
5178.00,89.69
5177.00,89.69
5176.00,89.70
5175.00,89.70
5174.00,89.71
5173.00,89.71
5172.00,89.71
5171.00,89.71
5170.00,89.70
5169.00,89.70
5168.00,89.71
5167.00,89.71
5166.00,89.71
5165.00,89.71
5164.00,89.71
5163.00,89.71
5162.00,89.70
5161.00,89.70
5160.00,89.70
5159.00,89.71
5158.00,89.72
5157.00,89.72
5156.00,89.72
5155.00,89.72
5154.00,89.72
5153.00,89.71
5152.00,89.71
5151.00,89.71
5150.00,89.71
5149.00,89.72
5148.00,89.72
5147.00,89.72
5146.00,89.72
5145.00,89.72
5144.00,89.72
5143.00,89.72
5142.00,89.71
5141.00,89.72
5140.00,89.73
5139.00,89.73
5138.00,89.73
5137.00,89.73
5136.00,89.73
5135.00,89.73
5134.00,89.72
5133.00,89.72
5132.00,89.72
5131.00,89.73
5130.00,89.73
5129.00,89.73
5128.00,89.73
5127.00,89.74
5126.00,89.73
5125.00,89.73
5124.00,89.73
5123.00,89.73
5122.00,89.74
5121.00,89.74
5120.00,89.74
5119.00,89.74
5118.00,89.74
5117.00,89.74
5116.00,89.74
5115.00,89.73
5114.00,89.73
5113.00,89.74
5112.00,89.74
5111.00,89.73
5110.00,89.73
5109.00,89.73
5108.00,89.73
5107.00,89.73
5106.00,89.72
5105.00,89.73
5104.00,89.74
5103.00,89.74
5102.00,89.74
5101.00,89.74
5100.00,89.74
5099.00,89.73
5098.00,89.73
5097.00,89.73
5096.00,89.73
5095.00,89.74
5094.00,89.75
5093.00,89.75
5092.00,89.74
5091.00,89.74
5090.00,89.73
5089.00,89.73
5088.00,89.74
5087.00,89.74
5086.00,89.74
5085.00,89.75
5084.00,89.75
5083.00,89.75
5082.00,89.74
5081.00,89.74
5080.00,89.74
5079.00,89.75
5078.00,89.75
5077.00,89.75
5076.00,89.76
5075.00,89.76
5074.00,89.75
5073.00,89.75
5072.00,89.75
5071.00,89.75
5070.00,89.75
5069.00,89.75
5068.00,89.75
5067.00,89.76
5066.00,89.76
5065.00,89.75
5064.00,89.74
5063.00,89.74
5062.00,89.74
5061.00,89.74
5060.00,89.75
5059.00,89.75
5058.00,89.76
5057.00,89.76
5056.00,89.75
5055.00,89.75
5054.00,89.74
5053.00,89.74
5052.00,89.75
5051.00,89.75
5050.00,89.75
5049.00,89.75
5048.00,89.75
5047.00,89.75
5046.00,89.74
5045.00,89.74
5044.00,89.74
5043.00,89.74
5042.00,89.75
5041.00,89.75
5040.00,89.75
5039.00,89.76
5038.00,89.75
5037.00,89.74
5036.00,89.74
5035.00,89.75
5034.00,89.75
5033.00,89.75
5032.00,89.75
5031.00,89.75
5030.00,89.75
5029.00,89.75
5028.00,89.75
5027.00,89.74
5026.00,89.74
5025.00,89.74
5024.00,89.74
5023.00,89.74
5022.00,89.74
5021.00,89.74
5020.00,89.74
5019.00,89.73
5018.00,89.73
5017.00,89.73
5016.00,89.74
5015.00,89.74
5014.00,89.74
5013.00,89.74
5012.00,89.74
5011.00,89.74
5010.00,89.73
5009.00,89.73
5008.00,89.74
5007.00,89.75
5006.00,89.75
5005.00,89.75
5004.00,89.75
5003.00,89.75
5002.00,89.75
5001.00,89.74
5000.00,89.74
4999.00,89.75
4998.00,89.75
4997.00,89.76
4996.00,89.76
4995.00,89.75
4994.00,89.75
4993.00,89.74
4992.00,89.74
4991.00,89.74
4990.00,89.74
4989.00,89.75
4988.00,89.76
4987.00,89.76
4986.00,89.75
4985.00,89.75
4984.00,89.75
4983.00,89.75
4982.00,89.75
4981.00,89.75
4980.00,89.76
4979.00,89.77
4978.00,89.77
4977.00,89.76
4976.00,89.76
4975.00,89.76
4974.00,89.75
4973.00,89.75
4972.00,89.76
4971.00,89.76
4970.00,89.77
4969.00,89.77
4968.00,89.76
4967.00,89.75
4966.00,89.75
4965.00,89.75
4964.00,89.75
4963.00,89.76
4962.00,89.76
4961.00,89.76
4960.00,89.76
4959.00,89.76
4958.00,89.75
4957.00,89.75
4956.00,89.76
4955.00,89.76
4954.00,89.76
4953.00,89.76
4952.00,89.76
4951.00,89.76
4950.00,89.76
4949.00,89.75
4948.00,89.75
4947.00,89.75
4946.00,89.75
4945.00,89.76
4944.00,89.76
4943.00,89.76
4942.00,89.76
4941.00,89.76
4940.00,89.76
4939.00,89.76
4938.00,89.75
4937.00,89.75
4936.00,89.76
4935.00,89.76
4934.00,89.76
4933.00,89.76
4932.00,89.76
4931.00,89.76
4930.00,89.75
4929.00,89.76
4928.00,89.76
4927.00,89.76
4926.00,89.76
4925.00,89.76
4924.00,89.77
4923.00,89.76
4922.00,89.75
4921.00,89.75
4920.00,89.76
4919.00,89.76
4918.00,89.76
4917.00,89.76
4916.00,89.77
4915.00,89.77
4914.00,89.76
4913.00,89.76
4912.00,89.76
4911.00,89.76
4910.00,89.77
4909.00,89.77
4908.00,89.78
4907.00,89.77
4906.00,89.77
4905.00,89.76
4904.00,89.76
